"u1299497da9c41cdb78cbc7f362e69d72|1511882238664" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882238981" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882239005" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882239221" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882243613" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882243332" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882244102" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882258025" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882258393" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882260867" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882265349" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882265399" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882265525" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882265732" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882265733" 
"u69527022c36a04b8333cb91aa4acf4b1|1511882271752" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882278351" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882278706" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882278586" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882278814" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882278866" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882278908" 
"uefbda6e7d4437e6c859a8ac937b72633|1511882279045" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882279074" 
"u1299497da9c41cdb78cbc7f362e69d72|1511882284077" 
"uc455a5966d655d88731ec5d4a29ddc34|1511882284456" 
"u69527022c36a04b8333cb91aa4acf4b1|1511882286590" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511882350127" 
"ub16a27e27d4b7a40fd504656beb209b8|1511882797242" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883147690" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883148963" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883150192" 
"uc455a5966d655d88731ec5d4a29ddc34|1511883155666" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883158497" 
"uc455a5966d655d88731ec5d4a29ddc34|1511883158905" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883160529" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883173951" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883177217" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883180841" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883185278" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883186782" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883193266" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883193580" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883195875" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883196157" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883210669" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883215213" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883216920" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883245389" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883281333" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883283303" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883289870" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883297552" 
"u1299497da9c41cdb78cbc7f362e69d72|1511883298281" 
"uc455a5966d655d88731ec5d4a29ddc34|1511883359837" 
"ub16a27e27d4b7a40fd504656beb209b8|1511883383666" 
"u69527022c36a04b8333cb91aa4acf4b1|1511883413060" 
